START_DAY,END_DAY,COST,MAKE,MODEL
600,823,43719,Lexus,GS
745,956,51101,Subaru,Ascent
165,996,58764,Mercedes,E-Class Wagon
280,819,77841,GMC,Terrain
165,784,50534,Honda,CR-V
367,706,43565,Ford,Ecosport
78,235,24934,Ford,F150
286,415,26714,Ford,Flex
113,722,62475,Toyota,Land Cruiser
110,489,70421,Buick,Encore
97,152,14612,Toyota,Camry
293,392,16771,Hyundai,Ioniq
385,396,1981,Ford,Super Duty
897,974,10375,Mitsubishi,Outlander
692,1021,51640,Ford,Expedition
74,867,91844,Toyota,Avalon
607,976,46890,Honda,Pilot
132,685,105764,Kia,Niro
471,576,22115,Honda,Accord
312,627,62373,Buick,Lacrosse
229,474,29119,BMW,X Series
827,838,1423,GMC,Sierra
901,958,4267,Mitsubishi,Eclipse
844,967,21042,Ford,Focus
348,387,5203,Honda,HR-V
395,916,69535,Toyota,RAV4
71,794,100569,Dodge,Durango
34,185,22099,Hyundai,Accent
48,55,1389,Toyota,Corolla
517,562,5634,Ford,GT
241,624,45773,GMC,Terrain
294,531,29341,Kia,Sedona
98,513,97287,Lexus,NX
268,701,63169,Dodge,Journey
21,564,63845,Jeep,Grand Cherokee
346,617,68661,Subaru,Ascent
708,801,7902,Honda,HR-V
917,986,8202,Toyota,Highlander
251,812,65580,Dodge,Challenger
149,396,48004,Lexus,GS
220,991,126917,Mercedes,GLA
96,753,75860,Ford,Escape
13,382,54453,Ford,Taurus
285,742,60709,Ford,Mustang
150,497,36891,Ford,Focus
165,886,118662,Honda,HR-V
400,587,32966,Mazda,CX-5
45,988,125164,Ford,Expedition
85,470,85347,Mazda,Miata
348,403,6530,GMC,Yukon
93,676,65476,GMC,Acadia
476,817,68214,Mazda,CX-9
243,730,90572,Mercedes,S-Class
585,742,37401,Kia,Sportage
47,804,96870,Ford,Expedition
66,329,54098,Chevrolet,Traverse
232,607,48402,Buick,Cascada
396,887,94068,Dodge,Grand Caravan
726,807,15793,Lexus,NX
94,179,22079,Lexus,ES
112,1001,56348,Mercedes,GLS
130,717,58626,Chevrolet,Bolt
748,831,20865,Infinity,Q50
270,597,42318,Kia,Forte
275,378,13304,Honda,Accord
46,107,15151,Honda,Fit
297,840,96965,Mercedes,C-Class
311,436,32630,Kia,Sorento
30,623,94792,Honda,CR-V
73,428,74247,Toyota,RAV4
68,1005,131651,Lexus,RX
432,913,34227,Dodge,Charger
420,651,24799,Dodge,Grand Caravan
157,992,71217,Ford,Taurus
9,944,36586,Mercedes,GLA
313,1016,120501,Dodge,Grand Caravan
49,362,57011,Hyundai,Sonata
360,973,32644,Ford,Edge
234,477,37480,Dodge,Challenger
89,778,63552,GMC,Canyon
810,1013,25603,Kia,Sportage
134,479,69713,Jeep,Compass
13,244,56565,Dodge,Challenger
66,555,85988,Lexus,LS
811,896,9777,Chevrolet,Tahoe
376,583,24563,BMW,6 Series
182,415,49559,Subaru,Impreza
398,587,49581,Hyundai,Accent
675,902,54901,BMW,M Series
219,908,106072,Mazda,CX-3
336,993,24543,Ford,Focus
142,903,111905,Mercedes,S-Class
829,956,16916,Jeep,Wrangler JK
334,447,26692,Buick,Lacrosse
112,805,116919,Chevrolet,Traverse
581,652,10898,Kia,K900
384,679,26009,Chevrolet,Equinox
465,692,50662,Hyundai,Ioniq
296,815,95320,Ford,Focus
422,889,98060,Buick,Regal
473,898,61972,Buick,Lacrosse
77,574,77537,Mercedes,C-Class
116,685,58350,Infinity,QX30
331,574,40478,Lincoln,Continental
136,141,1437,Ford,Explorer
62,935,133732,Lexus,RC
500,875,26958,Subaru,Impreza
10,713,107574,Hyundai,Tucson
632,915,19756,Honda,Clarity
789,832,6526,Lexus,NX
172,533,26466,Mitsubishi,Outlander
122,823,122181,Chevrolet,Bolt
285,548,59370,Jeep,Wrangler JK
735,952,19013,Dodge,Ram
174,483,35422,Toyota,Prius
450,727,53177,Mercedes,GLC
395,684,26063,Hyundai,Tucson
552,1015,102124,Ford,Edge
110,985,39091,Ford,Escape
83,228,36379,Ford,Transit
190,211,2848,Mazda,CX-9
242,359,16658,Honda,Ridgeline
423,530,12271,BMW,Z4
159,376,43264,Jeep,Renegade
30,831,141927,Cadillac,XT5
378,455,11116,Ford,Escape
119,346,33708,Ford,Transit
73,770,30347,Honda,HR-V
578,783,45014,GMC,Yukon
10,763,96181,GMC,Savana
792,825,5780,Lexus,GX
398,733,80138,Subaru,Ascent
561,616,10919,Chevrolet,Equinox
108,855,106771,Subaru,Legacy
222,473,44489,Ford,Escape
78,877,141312,Dodge,Durango
5,148,30461,GMC,Savana
446,573,30973,Hyundai,Ioniq
628,631,579,Chrysler,300
234,867,109338,Hyundai,Veloster
357,880,76331,Mitsubishi,Outlander
688,809,29260,Ford,GT
220,807,121439,Subaru,Crosstrek
845,998,19254,Subaru,Crosstrek
416,853,89376,Infinity,QX50
444,643,35933,BMW,2 Series
730,805,17414,BMW,7 Series
819,998,28424,Ford,Flex
164,429,66676,Lincoln,Navigator
201,810,121954,Lexus,RX
296,1023,58148,Jeep,Compass
151,566,36069,Honda,Fit
693,894,31361,Jeep,Wrangler
341,696,48716,Chevrolet,Spark
733,1000,30882,Mercedes,E-Class
204,905,36885,Ford,F250
99,514,31767,Ford,Ecosport
144,615,95022,Ford,F250
269,762,69625,Ford,Explorer
182,385,30724,BMW,4 Series
650,823,40389,Buick,Regal
727,950,57430,Toyota,Tundra
352,591,56578,Mazda,Miata
560,727,37426,Lexus,LC
1,156,33239,Hyundai,Veloster
232,353,30740,Chevrolet,Impala
926,941,3142,Toyota,RAV4
573,700,12866,Dodge,Demon
75,470,92457,GMC,Acadia
292,427,14124,Ford,F350
70,771,53022,Hyundai,Elantra
419,906,86118,Mercedes,GLC
386,921,88930,Kia,Sedona
414,923,78795,BMW,M Series
588,705,27800,Toyota,Tundra
47,568,38070,GMC,Canyon
459,712,32375,Jeep,Grand Cherokee
484,851,78924,Toyota,Tacoma
19,412,29854,Toyota,Tacoma
292,985,65566,Mazda,CX-9
208,413,35052,Hyundai,Veloster
498,549,5968,Ford,Edge
73,228,20918,Lexus,IS
201,652,65765,Chevrolet,Corvette
139,436,45708,Jeep,Grand Cherokee
168,675,55316,Toyota,Avalon
410,905,84081,Jeep,Renegade
30,291,23002,Toyota,Corolla
404,441,3597,Chevrolet,Silverado
536,913,29838,Lexus,LS
7,952,99755,Kia,Optima
63,384,60364,Ford,Focus
16,239,28815,Subaru,Legacy
248,633,49708,Chevrolet,Silverado
964,1015,14074,GMC,Savana
763,900,17003,Lincoln,MKZ
381,646,35299,Mitsubishi,Mirage
213,230,4300,Chevrolet,Traverse
38,235,29735,Hyundai,Ioniq
395,906,49855,Mercedes,GLS
171,558,42687,Chevrolet,Equinox
446,773,39020,Toyota,Tundra
116,833,43803,BMW,M Series
15,248,18998,Dodge,Challenger
493,558,11833,BMW,5 Series
0,999,127924,Hyundai,Sonata
197,398,40062,Honda,Ridgeline
349,740,38912,Chevrolet,Camaro
199,562,39424,Mercedes,Maybach
134,285,25456,Subaru,Legacy
617,674,7038,Chrysler,Pacifica
650,815,19267,Infinity,QX70
18,271,51667,Ford,Focus
11,68,10584,Chevrolet,Impala
272,625,41194,Cadillac,XT5
31,964,98036,Kia,Sportage
840,953,22635,Toyota,Tundra
140,157,1535,Chevrolet,Silverado
87,178,15392,Lexus,LX
215,828,50684,Lincoln,MKC
148,501,56094,Mercedes,GLA
177,354,25064,Lincoln,MKC
233,498,39913,Ford,Edge
215,540,70818,Dodge,Demon
101,636,71539,Mercedes,Roadster
222,939,66170,Hyundai,Tucson
75,448,66505,Subaru,Ascent
8,719,36669,Toyota,Sequoia
272,573,30042,Mitsubishi,Eclipse
258,441,18832,GMC,Sierra
556,947,63271,Subaru,Crosstrek
489,664,33770,Mitsubishi,Mirage
828,887,11059,Cadillac,XT5
293,900,100367,Lexus,LC
568,643,15101,Mazda,Miata
91,428,41669,Lexus,LX
104,339,51177,Toyota,Tundra
101,422,48453,Dodge,Grand Caravan
374,1005,74657,Kia,Niro
125,626,28005,BMW,3 Series
100,129,5747,Kia,Optima
206,693,27840,Infinity,QX30
596,907,29543,Dodge,Demon
79,150,7334,Ford,Explorer
208,245,9156,Subaru,Crosstrek
439,522,11866,Infinity,QX50
105,516,78845,Lexus,GX
90,827,45763,Ford,F350
25,482,54674,Cadillac,XT5
70,839,46104,Hyundai,Azera
63,998,46749,Chevrolet,Silverado
694,795,18148,Kia,Forte
688,829,21007,Ford,F350
117,332,21937,Mercedes,GLE
164,215,11488,Toyota,4Runner
249,474,37052,Mercedes,E-Class Wagon
470,879,54008,Subaru,Crosstrek
688,1003,25589,BMW,3 Series
722,879,23195,Jeep,Wrangler JK
479,552,8307,Infinity,QX60
256,529,30996,GMC,Canyon
45,248,14448,Mercedes,GLS
43,178,33291,Jeep,Wrangler
417,488,15490,Mazda,CX-9
170,835,79037,BMW,7 Series
375,388,918,Dodge,Demon
285,626,23875,Subaru,BRZ
42,961,140333,Dodge,Journey
115,444,56611,Jeep,Grand Cherokee
91,188,24673,Mercedes,GLC
199,540,30128,Ford,Taurus
131,280,8705,Mazda,CX-9
493,946,43042,Kia,Forte
550,657,22615,Jeep,Wrangler
334,413,8659,Infinity,QX80
289,396,12372,Mazda,Miata
277,574,36566,Ford,Ranger
366,669,16265,Hyundai,Veloster
965,1016,6465,Hyundai,Elantra
258,649,68016,Mitsubishi,Outlander
828,939,6300,Ford,Taurus
240,853,117689,Dodge,Journey
673,884,49965,Chevrolet,Cruze
8,255,59299,Chevrolet,Camaro
474,499,2593,Jeep,Grand Cherokee
271,604,60233,Ford,F150
689,990,72664,Ford,Transit
49,840,119431,Hyundai,Veloster
197,992,59341,Lexus,GX
85,310,34449,Ford,Expedition
11,798,123567,GMC,Canyon
584,653,6535,Ford,Taurus
248,845,99399,Ford,Taurus
330,365,3165,Jeep,Renegade
99,156,7758,Chevrolet,Trax
496,997,73418,Infinity,QX80
237,494,37309,Toyota,4Runner
292,363,8499,Honda,Odyssey
248,667,39994,Hyundai,Veloster
584,725,21664,Ford,Super Duty
6,617,33012,Subaru,Impreza
582,689,14401,GMC,Canyon
107,222,25291,GMC,Acadia
227,232,469,Ford,Super Duty
274,617,66249,Infinity,QX80
614,731,22395,GMC,Terrain
380,475,8969,Chevrolet,Tahoe
566,841,39759,Toyota,Sienna
365,774,72338,Ford,Escape
16,185,15041,Lincoln,MKC
802,1019,24445,Mazda,CX-3
495,542,8909,Toyota,RAV4
607,950,59110,Buick,Cascada
274,959,93913,Honda,Fit
103,242,15548,BMW,5 Series
308,907,92390,Jeep,Wrangler
90,137,5741,Ford,Expedition
708,1003,36614,Mercedes,C-Class
99,874,56362,Mitsubishi,Outlander
593,622,7033,BMW,Z4
409,478,8535,Ford,Expedition
884,919,8807,Chevrolet,Equinox
52,933,122994,BMW,7 Series
738,993,52018,BMW,2 Series
101,1018,83052,Ford,Escape
220,659,93468,BMW,2 Series
24,1005,126753,BMW,Z4
161,966,73776,Toyota,Prius
311,948,64953,Lexus,ES
817,970,29305,Cadillac,Escalade
358,971,73878,Mercedes,S-Class
447,756,34372,Ford,Ecosport
473,1010,73693,Honda,Ridgeline
235,388,30580,Dodge,Grand Caravan
587,676,5619,Mercedes,Roadster
169,952,118009,Ford,Expedition
365,832,74626,Subaru,BRZ
704,933,26849,Lexus,NX
575,1002,34474,Honda,Odyssey
67,1006,79831,Ford,Ecosport
426,629,29078,Chevrolet,Express
511,984,67659,Mitsubishi,Lancer
48,505,34083,Chevrolet,Tahoe
172,509,78552,BMW,4 Series
506,953,43331,Lincoln,Continental
506,753,28021,GMC,Sierra
62,507,74538,Subaru,Crosstrek
15,696,120912,Ford,F250
570,861,51928,Hyundai,Genesis G80
392,729,44766,Lincoln,Continental
166,189,6186,Ford,Super Duty
302,533,25824,Kia,Stinger
856,947,13392,Mitsubishi,Lancer
566,1001,74688,BMW,M Series
276,873,60063,Ford,Super Duty
74,89,3038,Chevrolet,Equinox
92,755,46182,Ford,Escape
112,409,47739,Subaru,Forester
156,301,34492,BMW,2 Series
259,572,26782,Dodge,Journey
57,976,91192,Chevrolet,Impala
349,796,80371,Buick,Regal
137,208,16930,BMW,M Series
302,507,40402,Dodge,Demon
449,772,75361,Lexus,RX
30,1009,65410,Toyota,4Runner
617,960,32554,Toyota,Sequoia
420,663,33196,Dodge,Charger
732,909,33958,BMW,Z4
167,220,8622,Mercedes,Cabriolet
462,767,29852,Ford,F150
442,865,61757,Chevrolet,Express
170,817,64178,Mercedes,E-Class
939,1018,17773,Lexus,LS
190,691,106342,Mercedes,Roadster
531,898,19279,Hyundai,Genesis G80
563,838,34759,Chevrolet,Tahoe
281,894,42952,Chevrolet,Volt
12,841,117931,Chevrolet,Bolt
529,684,41405,Ford,Ecosport
548,849,49555,Hyundai,Ioniq
187,542,28760,Cadillac,Escalade
565,626,5978,GMC,Sierra
319,428,14448,Jeep,Grand Cherokee
677,942,49834,Subaru,Ascent
115,362,43008,Hyundai,Ioniq
82,503,76591,Lincoln,Continental
236,355,20960,Kia,Sorento
366,461,19387,Mitsubishi,Outlander
150,851,90829,Lexus,GX
487,540,5731,Mazda,CX-5
14,977,98466,BMW,2 Series
158,429,27982,GMC,Yukon
309,1022,116659,Ford,Explorer
466,965,94732,Subaru,Outback
485,794,67957,Toyota,Land Cruiser
349,840,30983,Jeep,Wrangler
575,960,30638,Toyota,Camry
96,655,98354,Toyota,Land Cruiser
689,816,19656,Subaru,Impreza
3,986,121150,GMC,Terrain
423,570,31384,Mercedes,GLC
465,934,70512,Honda,Ridgeline
0,169,15971,Hyundai,Tucson
482,553,12063,Jeep,Renegade
18,973,127929,Infinity,QX60
637,846,34720,Infinity,QX60
285,580,64895,Toyota,RAV4
83,246,24605,Cadillac,CTS
31,286,27683,Lincoln,MKZ
542,615,15629,BMW,5 Series
729,970,25517,Lexus,ES
382,865,87844,Lexus,ES
87,468,88385,Ford,F350
409,448,2832,Toyota,Sequoia
683,820,27613,Subaru,Outback
983,988,863,Dodge,Durango
240,539,66135,Kia,K900
694,753,11403,Dodge,Charger
391,498,18254,Ford,F150
449,684,28293,Kia,Forte
506,941,75374,Mercedes,GLS
484,627,37112,Kia,Stinger
430,569,23581,Infinity,QX70
101,354,21288,Mercedes,E-Class
291,586,63632,Buick,Enclave
38,191,31995,Kia,Forte
529,996,34249,Chevrolet,Spark
744,845,21029,Lexus,IS
77,200,10984,Ford,Taurus
370,647,31380,Ford,Fiesta
390,833,84711,Honda,CR-V
553,956,28810,Chevrolet,Volt
58,499,33566,BMW,Z4
194,433,22589,Cadillac,XTS
122,725,96154,Honda,Fit
81,130,10044,Kia,Cadenza
465,892,47993,Ford,Mustang
23,110,14079,Ford,Ecosport
202,695,59892,Hyundai,Ioniq
91,1022,118820,Chevrolet,Spark
0,377,26147,Dodge,Ram
61,950,118229,Chevrolet,Cruze
418,1019,94269,Jeep,Grand Cherokee
120,195,7659,Dodge,Charger
102,599,77160,Mitsubishi,Eclipse
365,572,21772,Lincoln,MKZ
112,881,119102,Buick,Regal
316,807,54873,BMW,4 Series
78,205,31092,Ford,Mustang
418,539,14801,Chevrolet,Traverse
334,961,97015,Honda,Accord
306,823,32852,Toyota,Corolla
262,291,1573,Ford,Edge
151,210,5788,Mercedes,E-Class
148,765,38801,Honda,Odyssey
214,377,21004,Ford,Fiesta
312,467,16620,Kia,Stinger
347,872,53488,Infinity,QX30
599,764,18205,Chevrolet,Traverse
6,695,69038,Ford,F250
490,723,46255,Honda,Accord
520,627,25961,Honda,Fit
233,534,54691,Kia,Cadenza
240,751,32981,Chevrolet,Silverado
590,801,15898,Toyota,4Runner
319,550,15781,Toyota,Corolla
284,853,103962,Lincoln,MKZ
246,499,59428,Cadillac,XTS
411,974,104099,Lexus,ES
305,630,25156,Chevrolet,Cruze
820,1023,25055,Toyota,RAV4
123,806,33232,Chrysler,Pacifica
158,985,54729,Kia,K900
133,196,6534,Lexus,ES
374,839,67572,GMC,Savana
368,433,15231,Chrysler,300
502,603,11907,BMW,M Series
472,783,32972,BMW,4 Series
131,156,3087,Dodge,Grand Caravan
603,770,34358,Lexus,LC
453,626,18057,Chevrolet,Monte Carlo
249,438,33626,Honda,Accord
309,604,52270,Buick,Lacrosse
216,235,3408,Ford,Escape
237,428,15414,Chevrolet,Trax
304,491,28718,Kia,Rio
474,509,7328,Chevrolet,Malibu
9,454,58516,Toyota,4Runner
761,1002,50609,Buick,Envision
144,479,43712,Toyota,Land Cruiser
212,585,25016,Toyota,Corolla
299,680,35664,BMW,X Series
449,570,25503,Honda,Clarity
602,861,35747,GMC,Terrain
470,745,49044,Ford,Ecosport
858,975,11694,Hyundai,Elantra
129,258,22725,Subaru,BRZ
373,610,42754,Mercedes,S-Class
210,481,29393,Hyundai,Azera
54,273,43028,Cadillac,Escalade
669,766,9426,Lincoln,MKZ
550,947,41606,Honda,CR-V
912,987,13801,Chevrolet,Malibu
166,453,48370,Chevrolet,Express
283,996,97603,Cadillac,Escalade
52,983,51286,Honda,Civic
584,809,53275,Mercedes,GLA
557,916,54773,Mercedes,GLC
582,911,32310,Mitsubishi,Lancer
473,722,39152,Ford,F250
579,1022,89919,Subaru,BRZ
397,888,41435,Honda,Fit
671,950,24823,Chevrolet,Impala
715,740,4495,GMC,Savana
736,1013,38087,Lincoln,MKZ
108,325,37638,Ford,F250
273,716,32288,Honda,HR-V
539,624,13443,Kia,Sedona
245,340,15130,Mercedes,S-Class
341,742,60305,Infinity,Q50
134,141,559,Mercedes,E-Class
364,833,23143,BMW,3 Series
67,960,67989,BMW,M Series
302,1023,120998,Kia,Soul
493,864,47392,Infinity,QX60
887,1020,20272,Honda,Accord
718,779,6333,Mercedes,GLA
162,953,66027,Subaru,Crosstrek
673,968,40654,Honda,HR-V
260,353,17312,Mazda,CX-9
271,886,50348,Toyota,Tacoma
475,798,65839,Lincoln,Continental
114,535,86290,Buick,Regal
173,240,8166,Honda,Fit
324,701,40604,Subaru,Legacy
620,921,57258,Subaru,Ascent
747,790,9346,Ford,Mustang
133,960,123756,Dodge,Charger
439,792,35936,Mitsubishi,Mirage
748,835,22243,GMC,Savana
226,379,34685,Toyota,RAV4
351,624,29577,Kia,Sedona
160,323,25655,Kia,Cadenza
143,340,34898,Mercedes,E-Class
951,992,10246,Mazda,Miata
387,860,74571,Kia,Optima
104,397,38918,Mazda,Miata
894,943,13584,Hyundai,Ioniq
663,846,33497,Ford,Mustang
369,920,31416,Lexus,GS
337,618,29094,Chrysler,Pacifica
198,647,51183,Chrysler,300
508,631,12602,Chrysler,Pacifica
135,342,48567,Mercedes,C-Class
567,928,83561,BMW,3 Series
135,936,71207,BMW,7 Series
831,928,9703,Lexus,NX
662,697,7294,Mercedes,C-Class
468,697,53900,Mercedes,GLE
3,542,82606,Chevrolet,Cruze
525,946,61875,Subaru,WRX
748,865,14452,Subaru,Outback
56,977,90214,Toyota,Tundra
452,527,16980,Mercedes,Maybach
442,925,78986,Mercedes,GLA
58,327,61922,Ford,Taurus
135,724,104482,Subaru,Legacy
659,726,12508,Honda,Civic
34,615,99466,Buick,Enclave
151,576,46816,GMC,Terrain
305,646,59119,BMW,M Series
943,978,7190,Infinity,QX60
87,188,20741,Ford,Ecosport
133,406,45193,Mercedes,C-Class
783,1018,23924,Cadillac,XT5
428,771,55969,Kia,Cadenza
57,952,113372,Mercedes,GLE
312,801,56953,Infinity,QX30
586,711,22184,Ford,F250
303,974,85720,Lexus,LC
274,849,93466,Subaru,Impreza
57,248,37755,Mercedes,GLS
332,429,18204,GMC,Acadia
262,763,60551,Chevrolet,Express
655,968,64170,Lexus,RX
215,294,17090,Dodge,Ram
281,290,1999,Subaru,Ascent
679,842,35107,Honda,Clarity
139,690,44707,Mazda,Miata
290,639,46035,Lexus,LX
257,594,65882,Chevrolet,Traverse
875,900,3186,Mazda,CX-3
361,938,104439,Mazda,Miata
356,971,81331,Buick,Enclave
416,427,2287,Kia,Sportage
7,968,106603,Ford,Ranger
512,519,1800,Chevrolet,Malibu
535,912,38451,Honda,Fit
226,523,26409,Hyundai,Tucson
38,831,49567,Toyota,Tundra
211,702,92202,BMW,2 Series
43,400,78999,Chevrolet,Malibu
74,909,61820,Dodge,Demon
744,983,41167,Chevrolet,Traverse
157,378,41008,Hyundai,Sonata
929,964,7431,Mazda,Miata
252,319,18212,Buick,Envision
508,963,35746,Chevrolet,Impala
39,212,23125,Kia,Optima
238,461,24642,Ford,Flex
163,836,50155,GMC,Acadia
577,744,18560,Mercedes,C-Class
19,144,16902,Ford,Explorer
385,472,21660,Mercedes,Roadster
595,992,75531,Hyundai,Santa Fe
856,879,2639,Chevrolet,Tahoe
93,468,71070,BMW,Z4
506,843,54620,Chevrolet,Bolt
576,983,32612,Mercedes,GLS
280,543,23840,Kia,Forte
13,594,53687,Chevrolet,Bolt
236,333,20792,Subaru,Outback
237,258,4033,Subaru,Crosstrek
699,970,56199,BMW,X Series
401,516,24857,Infinity,QX70
776,883,26063,Lexus,GS
372,945,68919,Infinity,QX60
706,859,17555,Buick,Cascada
327,386,14326,Mercedes,Roadster
4,307,27108,Buick,Enclave
1,756,122504,Dodge,Durango
284,333,10618,Honda,Odyssey
610,765,14041,Mitsubishi,Outlander
391,400,1846,Kia,Cadenza
313,642,32586,Toyota,RAV4
356,991,74042,Buick,Cascada
692,749,11360,Chevrolet,Tahoe
36,961,87241,Subaru,Legacy
244,733,53976,Infinity,QX60
172,233,15092,Chevrolet,Cruze
303,514,22333,Ford,Edge
108,989,131026,Subaru,Outback
35,592,68126,Toyota,Land Cruiser
317,420,19564,Hyundai,Genesis G80
157,700,92576,Mercedes,Roadster
302,413,13019,Kia,Soul
6,93,11996,Jeep,Grand Cherokee
654,679,1754,GMC,Sierra
650,915,25609,Hyundai,Sonata
659,888,39662,Kia,Sportage
788,877,23497,BMW,3 Series
9,64,8404,Infinity,QX70
197,588,84466,Mercedes,Roadster
573,812,26600,Lexus,LS
124,719,64587,Chevrolet,Monte Carlo
165,842,91095,Chevrolet,Spark
299,690,73394,Toyota,Camry
199,1018,115007,Hyundai,Sonata
216,601,49708,Ford,Fiesta
710,755,10695,Mercedes,C-Class
168,825,103527,Ford,Expedition
540,547,1410,Honda,Ridgeline
158,241,15052,Subaru,Legacy
810,883,11616,Buick,Encore
351,858,70957,Mazda,CX-3
405,666,61717,Kia,Sedona
443,778,68930,Chevrolet,Silverado
46,169,10984,Lexus,NX
625,950,25976,BMW,3 Series
41,120,17849,Mazda,Miata
327,866,56395,Chevrolet,Malibu
22,87,15420,Dodge,Challenger
291,440,25422,Honda,Ridgeline
397,480,12264,Hyundai,Ioniq
211,952,90796,BMW,2 Series
505,736,50827,Honda,Civic
496,705,28714,Jeep,Compass
539,982,47216,Chevrolet,Camaro
224,947,78584,BMW,3 Series
372,821,84486,GMC,Savana
794,847,8106,BMW,M Series
224,383,11000,Kia,Sportage
14,593,76417,Ford,Transit
211,310,11777,Ford,Flex
221,576,43433,Infinity,QX30
207,738,69225,GMC,Canyon
244,323,17394,Subaru,Ascent
166,411,32786,Toyota,Camry
176,933,40085,Mercedes,E-Class Wagon
200,733,99755,Kia,Rio
102,965,128332,Cadillac,XTS
531,890,58918,Mitsubishi,Mirage
948,1003,6370,Hyundai,Azera
78,721,67933,Ford,Flex
279,492,50575,Ford,Edge
148,907,68313,GMC,Canyon
306,491,18344,Cadillac,CTS
612,931,34472,Toyota,Corolla
79,890,72498,Ford,F150
109,730,75290,Ford,F350
903,918,1296,Mercedes,E-Class Wagon
220,439,47527,GMC,Sierra
305,316,723,Lexus,IS
75,552,30004,Toyota,Tundra
636,729,20153,BMW,3 Series
641,734,11985,Honda,Accord
108,773,39070,Toyota,Corolla
657,696,6466,Kia,Stinger
250,255,494,Infinity,Q70
618,1011,71457,Chevrolet,Tahoe
19,28,1192,Kia,Optima
505,690,21373,Chevrolet,Monte Carlo
319,740,82277,Mitsubishi,Mirage
220,373,37658,Chevrolet,Spark
131,478,28533,Mazda,Miata
55,178,19192,Lexus,LX
380,877,99744,BMW,X Series
723,842,30712,Chevrolet,Bolt
491,782,50181,GMC,Acadia
409,738,66000,Kia,Sedona
226,747,96727,Kia,Rio
576,893,56266,BMW,X Series
199,460,41221,Hyundai,Santa Fe
136,423,62683,Jeep,Compass
509,1012,28839,Jeep,Renegade
73,550,51593,Subaru,Legacy
60,211,29792,Mercedes,GLA
16,225,17266,Ford,Fiesta
857,986,32999,Toyota,Highlander
496,803,33406,Chevrolet,Trax
91,936,40205,Toyota,Land Cruiser
2,973,46978,Toyota,Sequoia
697,888,25805,Chevrolet,Cruze
215,822,88409,Toyota,Avalon
121,682,117311,Hyundai,Accent
59,768,70924,Kia,Cadenza
3,522,62772,GMC,Sierra
862,1011,34817,Chevrolet,Tahoe
736,997,60806,Subaru,Legacy
113,676,44498,Lexus,RC
351,822,28652,Ford,F250
770,789,2523,Infinity,Q70
769,866,20607,Kia,Sportage
147,446,32430,Jeep,Wrangler
467,846,80305,BMW,3 Series
145,302,8988,Mercedes,Maybach
58,815,115481,Ford,Super Duty
843,894,6565,Buick,Regal
552,941,49158,BMW,5 Series
433,554,9222,Honda,Odyssey
160,969,39155,Dodge,Durango
356,469,28186,BMW,X Series
276,989,54844,Toyota,4Runner
449,702,41467,Chevrolet,Tahoe
333,954,84377,Ford,Flex
373,922,41389,Hyundai,Santa Fe
660,829,28530,Lexus,RC
734,1023,36240,Hyundai,Kona
